#{"t_start": 1616940277.4585323, "env_id": "calib_env-v0"}
r,l,t
-187.584756,500,8.070774
-168.527785,500,15.920543
-134.544785,500,23.745821
-297.184088,500,31.504332
-223.134169,500,42.545437
-208.443442,500,50.419533
-205.454683,500,58.318299
-190.910283,500,66.222135
-214.140373,500,76.214332
-162.622382,500,84.173728
-247.881253,500,92.272092
-209.773879,500,101.00257
-154.02142,500,111.556341
-301.685926,500,119.621345
-191.148302,500,127.747525
-254.223938,500,136.948125
-254.956447,500,146.835541
-181.116444,500,155.00527
-230.574239,500,163.175277
-169.485761,500,171.418342
