,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_starts,params_log_std_init,params_lr,params_net_arch,params_tau,params_train_freq,state
0,0,0.01568169058655292,2021-04-23 13:24:21.340641,2021-04-23 13:27:07.760853,0 days 00:02:46.420212,64,10000,0.999,0,-2.7722390558917134,0.00823522968316834,medium,0.02,128,COMPLETE
1,1,0.020240287007121518,2021-04-23 13:27:07.763724,2021-04-23 13:29:54.841018,0 days 00:02:47.077294,64,10000,0.999,0,-2.9145557234642,0.007754008822131313,medium,0.02,128,PRUNED
2,2,0.010935877206331915,2021-04-23 13:29:54.841227,2021-04-23 13:30:50.041356,0 days 00:00:55.200129,64,100000,0.999,20000,-0.46701297704885647,0.8789690184614061,medium,0.05,512,PRUNED
3,3,0.06049542304668754,2021-04-23 13:30:50.041591,2021-04-23 13:33:00.774293,0 days 00:02:10.732702,512,10000,0.9999,0,-3.9425957524609707,0.00045740723143634693,small,0.01,256,PRUNED
4,4,0.016219453642793855,2021-04-23 13:33:00.774500,2021-04-23 13:35:20.039673,0 days 00:02:19.265173,16,1000000,0.99,1000,-2.191607331351232,0.045086608916697364,big,0.02,128,PRUNED
5,5,0.0297038745435538,2021-04-23 13:35:20.039870,2021-04-23 13:36:12.349927,0 days 00:00:52.310057,2048,10000,0.9,10000,-3.703864019871469,1.377260769797605e-05,medium,0.001,8,COMPLETE
6,6,0.014135600257752111,2021-04-23 13:36:12.352297,2021-04-23 13:37:04.732719,0 days 00:00:52.380422,2048,1000000,0.9,10000,0.8240285345365557,2.644399370806136e-05,medium,0.001,8,PRUNED
7,7,0.018458034769635777,2021-04-23 13:37:04.732927,2021-04-23 13:37:57.962497,0 days 00:00:53.229570,2048,100000,0.995,10000,-3.951262374986556,1.2113483153348332e-05,big,0.005,64,PRUNED
8,8,0.01397579868332861,2021-04-23 13:37:57.962756,2021-04-23 13:38:49.208431,0 days 00:00:51.245675,1024,10000,0.95,10000,-1.0535677541755355,0.0001637669158122342,small,0.001,32,PRUNED
9,9,0.014757629866456014,2021-04-23 13:38:49.208667,2021-04-23 13:39:42.110283,0 days 00:00:52.901616,128,10000,0.98,10000,0.9677199572432036,0.00019669371060536089,medium,0.001,8,PRUNED
